,#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Overall Value
159,147,Dratini,Dragon,,300,41,64,45,50,50,50,1,False,50.0
160,148,Dragonair,Dragon,,420,61,84,65,70,70,70,1,False,70.0
161,149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,False,100.0
365,334,Altaria,Dragon,Flying,490,75,70,90,70,105,80,3,False,82.0
366,334,AltariaMega Altaria,Dragon,Fairy,590,75,110,110,110,105,80,3,False,98.0
406,371,Bagon,Dragon,,300,45,75,60,40,30,50,3,False,50.0
407,372,Shelgon,Dragon,,420,65,95,100,60,50,50,3,False,70.0
408,373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,3,False,100.0
409,373,SalamenceMega Salamence,Dragon,Flying,700,95,145,130,120,90,120,3,False,117.0
417,380,Latias,Dragon,Psychic,600,80,80,90,110,130,110,3,True,100.0
418,380,LatiasMega Latias,Dragon,Psychic,700,80,100,120,140,150,110,3,True,117.0
419,381,Latios,Dragon,Psychic,600,80,90,80,130,110,110,3,True,100.0
420,381,LatiosMega Latios,Dragon,Psychic,700,80,130,100,160,120,110,3,True,117.0
425,384,Rayquaza,Dragon,Flying,680,105,150,90,150,90,95,3,True,113.0
426,384,RayquazaMega Rayquaza,Dragon,Flying,780,105,180,100,180,100,115,3,True,130.0
491,443,Gible,Dragon,Ground,300,58,70,45,40,45,42,4,False,50.0
492,444,Gabite,Dragon,Ground,410,68,90,65,50,55,82,4,False,68.0
493,445,Garchomp,Dragon,Ground,600,108,130,95,80,85,102,4,False,100.0
494,445,GarchompMega Garchomp,Dragon,Ground,700,108,170,115,120,95,92,4,False,117.0
671,610,Axew,Dragon,,320,46,87,60,30,40,57,5,False,53.0
672,611,Fraxure,Dragon,,410,66,117,70,40,50,67,5,False,68.0
673,612,Haxorus,Dragon,,540,76,147,90,60,70,97,5,False,90.0
682,621,Druddigon,Dragon,,485,77,120,90,60,90,48,5,False,81.0
706,643,Reshiram,Dragon,Fire,680,100,120,100,150,120,90,5,True,113.0
707,644,Zekrom,Dragon,Electric,680,100,150,120,120,100,90,5,True,113.0
710,646,Kyurem,Dragon,Ice,660,125,130,90,130,90,95,5,True,110.0
711,646,KyuremBlack Kyurem,Dragon,Ice,700,125,170,100,120,90,95,5,True,117.0
712,646,KyuremWhite Kyurem,Dragon,Ice,700,125,120,90,170,100,95,5,True,117.0
774,704,Goomy,Dragon,,300,45,50,35,55,75,40,6,False,50.0
775,705,Sliggoo,Dragon,,452,68,75,53,83,113,60,6,False,75.0
776,706,Goodra,Dragon,,600,90,100,70,110,150,80,6,False,100.0
794,718,Zygarde50% Forme,Dragon,Ground,600,108,100,121,81,95,95,6,True,100.0
