,#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Overall Value
32,27,Sandshrew,Ground,,300,50,75,85,20,30,40,1,False,50.0
33,28,Sandslash,Ground,,450,75,100,110,45,55,65,1,False,75.0
55,50,Diglett,Ground,,265,10,55,25,35,45,95,1,False,44.0
56,51,Dugtrio,Ground,,405,35,80,50,50,70,120,1,False,68.0
112,104,Cubone,Ground,,320,50,50,95,40,50,35,1,False,53.0
113,105,Marowak,Ground,,425,60,80,110,50,80,45,1,False,71.0
119,111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,False,58.0
120,112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,False,81.0
222,207,Gligar,Ground,Flying,430,65,75,105,35,65,85,2,False,72.0
250,231,Phanpy,Ground,,330,90,60,60,40,40,40,2,False,55.0
251,232,Donphan,Ground,,500,90,120,120,60,60,50,2,False,83.0
359,328,Trapinch,Ground,,290,45,100,45,45,45,10,3,False,48.0
360,329,Vibrava,Ground,Dragon,340,50,70,50,50,50,70,3,False,57.0
361,330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,False,87.0
375,343,Baltoy,Ground,Psychic,300,40,40,55,40,70,55,3,False,50.0
376,344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,3,False,83.0
423,383,Groudon,Ground,,670,100,150,140,100,90,90,3,True,112.0
424,383,GroudonPrimal Groudon,Ground,Fire,770,100,180,160,150,90,90,3,True,128.0
499,449,Hippopotas,Ground,,330,68,72,78,38,42,32,4,False,55.0
500,450,Hippowdon,Ground,,525,108,112,118,68,72,47,4,False,88.0
515,464,Rhyperior,Ground,Rock,535,115,140,130,55,55,40,4,False,89.0
523,472,Gliscor,Ground,Flying,510,75,95,125,45,75,95,4,False,85.0
588,529,Drilbur,Ground,,328,60,85,40,30,45,68,5,False,55.0
589,530,Excadrill,Ground,Steel,508,110,135,60,50,65,88,5,False,85.0
611,551,Sandile,Ground,Dark,292,50,72,35,35,35,65,5,False,49.0
612,552,Krokorok,Ground,Dark,351,60,82,45,45,45,74,5,False,58.0
613,553,Krookodile,Ground,Dark,519,95,117,80,65,70,92,5,False,86.0
679,618,Stunfisk,Ground,Electric,471,109,66,84,81,99,32,5,False,78.0
683,622,Golett,Ground,Ghost,303,59,74,50,35,50,35,5,False,50.0
684,623,Golurk,Ground,Ghost,483,89,124,80,55,80,55,5,False,80.0
708,645,LandorusIncarnate Forme,Ground,Flying,600,89,125,90,115,80,101,5,True,100.0
709,645,LandorusTherian Forme,Ground,Flying,600,89,145,90,105,80,91,5,True,100.0
