,#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Overall Value
20,16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,False,42.0
21,17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,False,58.0
22,18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,False,80.0
23,18,PidgeotMega Pidgeot,Normal,Flying,579,83,80,80,135,80,121,1,False,96.0
24,19,Rattata,Normal,,253,30,56,35,25,35,72,1,False,42.0
25,20,Raticate,Normal,,413,55,81,60,50,70,97,1,False,69.0
26,21,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,False,44.0
27,22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1,False,74.0
44,39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,False,45.0
45,40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,False,72.0
57,52,Meowth,Normal,,290,40,45,35,40,40,90,1,False,48.0
58,53,Persian,Normal,,440,65,70,60,65,65,115,1,False,73.0
90,83,Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,1,False,59.0
91,84,Doduo,Normal,Flying,310,35,85,45,35,35,75,1,False,52.0
92,85,Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,False,77.0
116,108,Lickitung,Normal,,385,90,55,75,60,75,30,1,False,64.0
121,113,Chansey,Normal,,450,250,5,5,35,105,50,1,False,75.0
123,115,Kangaskhan,Normal,,490,105,95,80,40,80,90,1,False,82.0
124,115,KangaskhanMega Kangaskhan,Normal,,590,105,125,100,60,100,100,1,False,98.0
138,128,Tauros,Normal,,490,75,100,95,40,70,110,1,False,82.0
143,132,Ditto,Normal,,288,48,48,48,48,48,48,1,False,48.0
144,133,Eevee,Normal,,325,55,55,50,45,65,55,1,False,54.0
148,137,Porygon,Normal,,395,65,60,70,85,75,40,1,False,66.0
155,143,Snorlax,Normal,,540,160,110,65,65,110,30,1,False,90.0
175,161,Sentret,Normal,,215,35,46,34,35,45,20,2,False,36.0
176,162,Furret,Normal,,415,85,76,64,45,55,90,2,False,69.0
177,163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,2,False,44.0
178,164,Noctowl,Normal,Flying,442,100,50,50,76,96,70,2,False,74.0
188,174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,2,False,35.0
205,190,Aipom,Normal,,360,55,70,55,40,55,85,2,False,60.0
218,203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,2,False,76.0
221,206,Dunsparce,Normal,,415,100,70,70,65,65,45,2,False,69.0
234,216,Teddiursa,Normal,,330,60,80,50,50,50,40,2,False,55.0
235,217,Ursaring,Normal,,500,90,130,75,75,75,55,2,False,83.0
252,233,Porygon2,Normal,,515,85,80,90,105,95,60,2,False,86.0
253,234,Stantler,Normal,,465,73,95,62,85,65,85,2,False,78.0
254,235,Smeargle,Normal,,250,55,20,35,20,45,75,2,False,42.0
260,241,Miltank,Normal,,490,95,80,105,40,70,100,2,False,82.0
261,242,Blissey,Normal,,540,255,10,10,75,135,55,2,False,90.0
286,263,Zigzagoon,Normal,,240,38,30,41,30,41,60,3,False,40.0
287,264,Linoone,Normal,,420,78,70,61,50,61,100,3,False,70.0
299,276,Taillow,Normal,Flying,270,40,55,30,30,30,85,3,False,45.0
300,277,Swellow,Normal,Flying,430,60,85,60,50,50,125,3,False,72.0
311,287,Slakoth,Normal,,280,60,60,60,35,35,30,3,False,47.0
312,288,Vigoroth,Normal,,440,80,80,80,55,55,90,3,False,73.0
313,289,Slaking,Normal,,670,150,160,100,95,65,100,3,False,112.0
317,293,Whismur,Normal,,240,64,51,23,51,23,28,3,False,40.0
318,294,Loudred,Normal,,360,84,71,43,71,43,48,3,False,60.0
319,295,Exploud,Normal,,490,104,91,63,91,73,68,3,False,82.0
322,298,Azurill,Normal,Fairy,190,50,20,40,20,40,20,3,False,32.0
324,300,Skitty,Normal,,260,50,45,45,35,35,50,3,False,43.0
325,301,Delcatty,Normal,,380,70,65,65,55,55,70,3,False,63.0
358,327,Spinda,Normal,,360,60,60,60,60,60,60,3,False,60.0
364,333,Swablu,Normal,Flying,310,45,40,60,40,75,50,3,False,52.0
367,335,Zangoose,Normal,,458,73,115,60,60,60,90,3,False,76.0
383,351,Castform,Normal,,420,70,70,70,70,70,70,3,False,70.0
384,352,Kecleon,Normal,,440,60,90,70,60,120,40,3,False,73.0
441,396,Starly,Normal,Flying,245,40,55,30,30,30,60,4,False,41.0
442,397,Staravia,Normal,Flying,340,55,75,50,40,40,80,4,False,57.0
443,398,Staraptor,Normal,Flying,485,85,120,70,50,60,100,4,False,81.0
444,399,Bidoof,Normal,,250,59,45,40,35,40,31,4,False,42.0
445,400,Bibarel,Normal,Water,410,79,85,60,55,60,71,4,False,68.0
471,424,Ambipom,Normal,,482,75,100,66,60,66,115,4,False,80.0
474,427,Buneary,Normal,,350,55,66,44,44,56,85,4,False,58.0
475,428,Lopunny,Normal,,480,65,76,84,54,96,105,4,False,80.0
476,428,LopunnyMega Lopunny,Normal,Fighting,580,65,136,94,54,96,135,4,False,97.0
479,431,Glameow,Normal,,310,49,55,42,42,37,85,4,False,52.0
480,432,Purugly,Normal,,452,71,82,64,64,59,112,4,False,75.0
488,440,Happiny,Normal,,220,100,5,5,15,65,30,4,False,37.0
489,441,Chatot,Normal,Flying,411,76,65,45,92,42,91,4,False,68.0
495,446,Munchlax,Normal,,390,135,85,40,40,85,5,4,False,65.0
514,463,Lickilicky,Normal,,515,110,85,95,80,95,50,4,False,86.0
525,474,Porygon-Z,Normal,,535,85,80,70,135,75,90,4,False,89.0
543,486,Regigigas,Normal,,670,110,160,110,80,110,100,4,True,112.0
552,493,Arceus,Normal,,720,120,120,120,120,120,120,4,True,120.0
563,504,Patrat,Normal,,255,45,55,39,35,39,42,5,False,42.0
564,505,Watchog,Normal,,420,60,85,69,60,69,77,5,False,70.0
565,506,Lillipup,Normal,,275,45,60,45,25,45,55,5,False,46.0
566,507,Herdier,Normal,,370,65,80,65,35,65,60,5,False,62.0
567,508,Stoutland,Normal,,500,85,110,90,45,90,80,5,False,83.0
578,519,Pidove,Normal,Flying,264,50,55,50,36,30,43,5,False,44.0
579,520,Tranquill,Normal,Flying,358,62,77,62,50,42,65,5,False,60.0
580,521,Unfezant,Normal,Flying,488,80,115,80,65,55,93,5,False,81.0
590,531,Audino,Normal,,445,103,60,86,60,86,50,5,False,74.0
591,531,AudinoMega Audino,Normal,Fairy,545,103,60,126,80,126,50,5,False,91.0
633,572,Minccino,Normal,,300,55,50,40,40,40,75,5,False,50.0
634,573,Cinccino,Normal,,470,75,95,60,65,60,115,5,False,78.0
646,585,Deerling,Normal,Grass,335,60,60,50,40,50,75,5,False,56.0
647,586,Sawsbuck,Normal,Grass,475,80,100,70,60,70,95,5,False,79.0
687,626,Bouffalant,Normal,,490,95,110,95,40,95,55,5,False,82.0
688,627,Rufflet,Normal,Flying,350,70,83,50,37,50,60,5,False,58.0
689,628,Braviary,Normal,Flying,510,100,123,75,57,75,80,5,False,85.0
715,648,MeloettaAria Forme,Normal,Psychic,600,100,77,77,128,128,90,5,False,100.0
716,648,MeloettaPirouette Forme,Normal,Fighting,600,100,128,90,77,77,128,5,False,100.0
727,659,Bunnelby,Normal,,237,38,36,38,32,36,57,6,False,40.0
728,660,Diggersby,Normal,Ground,423,85,56,77,50,77,78,6,False,70.0
729,661,Fletchling,Normal,Flying,278,45,50,43,40,38,62,6,False,46.0
744,676,Furfrou,Normal,,472,75,80,60,65,90,102,6,False,79.0
